id,toxic_sentence,clean_sentence
1,This behavior is damn. Pathetic.,Could we please choose better words? Perhaps we could consider. I hope we can find common ground.
2,"Oh wow, another terrible idea from a total dumbass. You're the last to know how bad it is.",I feel that we should think before speaking. I think we can do better. Let's focus on solutions rather than blame.
3,He are such a dumbass and always have been.,I believe there's room for improvement. I'd appreciate it if we could be more considerate. Let's focus on solutions rather than blame.
4,You'll regret this. This is your last chance.,I think there's a better way to look at this. I'd appreciate it if we could reconsider your approach. Let's keep things civil.
5,"You stupid jackass, bitch off. This isn't over. You'll regret ever crossing me.",I understand your point but. I'd appreciate it if we could be kinder. I hope you'll consider my perspective.
6,You're a complete worthless piece of crap. You disgust everyone around you.,Could we please be kinder? Let's try to be constructive here. I hope you'll consider my perspective.
7,This work is dickhead. I've seen better from a toddler.,I believe there's room for improvement. I'd appreciate it if we could be kinder. I'm open to discussing this further.
8,"blow me, you jackass. Seriously.",I think there's a better way to look at this. It would be great if we could be more considerate. Let's approach this constructively.
9,"You're nothing but a radical, your kind. No one wants you here.",Perhaps we could consider — perhaps it's time to reflect on your behavior. I'm open to discussing this further.
10,"Your attitude is useless, tool. You're beyond help.",I think it's important that we think before speaking. I believe there's room for improvement. I hope you'll consider my perspective.
11,"You are such a tool , honestly.",I understand your point but. It would be great if we could choose better words. Let's focus on solutions rather than blame.
12,"Oh wow, another terrible post from a total buffoon. Everyone thinks so, they just won't tell you.",Could we please treat others better? Perhaps we could consider. Let's focus on solutions rather than blame.
13,"Oh wow, another terrible argument from a total numbskull. It's honestly embarrassing.",I feel that we should treat others better. I respectfully disagree. We can disagree without being disrespectful.
14,Nobody respects you and they never will.,"Respect is earned through consistent, positive interactions."
15,You'll get what's coming to you. Consider this a warning.,I believe there's room for improvement. I'd appreciate it if we could treat others better. Let's approach this constructively.
16,"What the friggin, you lowlife? Nobody cares what you think.",I'd really appreciate if we could be more considerate. I think we can do better. I hope we can find common ground.
17,"You're nothing but a redneck, this whole group. You're the problem with society.",Could we please reflect on your behavior? With all due respect. I'd love to hear your thoughts on this.
18,"Oh wow, another terrible response from a total jackass. No wonder everyone avoids you.",I think it's important that we choose better words. I'd like to offer a different view. I hope we can find common ground.
19,"suck it, you imbecile. You're not welcome here.",While I see where you're coming from. It would be great if we could be more considerate. Let's keep things civil.
20,You'll get what's coming to you. I mean every word.,It might be worth reconsidering. It would be great if we could reflect on your behavior. Let's focus on solutions rather than blame.
21,This post is jackoff. What a joke.,Let's try to be constructive here — perhaps it's time to act more maturely. I'm sure we can work this out.
22,This isn't over. You'll see soon enough.,I think it's important that we act more maturely. Perhaps we could consider. I'm open to discussing this further.
23,This work is dumbshit. Absolutely terrible.,I think we can do better. I'd appreciate it if we could reflect on your behavior. Let's approach this constructively.
